ID,sex,DOB,age97,compcoll_age25,race,father_educ_years,mother_educ_years,parinc,intact,sibsz,region_age17,urban_rural_age17,asvab_mv_pct,grades8th,hsprog,gpa,peers_aspiration_college,delinq,tchgood,schsafe,marstat_age17,res_children_age17,weeks_Unemployed,weeks_Out of labor force,weeks_Employed,weeks_Not working (unclear if unemployed or NILF),weeks_Active military,prop_Unemployed,prop_Out of labor force,prop_Employed,prop_Not working (unclear if unemployed or NILF),prop_Active military
1,F,1981-09-01,15.0,1.0,Non-Black / Non-Hispanic,16.0,8.0,137750.0,1.0,1.0,Northeast,Urban,45.07,3.5,0.0,3.5,About 75%,0.0,1.0,1.0,Never married,0.0,250.0,155.0,492.0,0.0,0.0,0.278706800445931,0.172798216276477,0.548494983277592,0.0,0.0
2,M,1982-07-01,14.0,0.0,Hispanic,17.0,15.0,84000.0,0.49624706725250356,3.8501777026400745,Northeast,Urban,58.483,2.5,0.0,2.5,About 75%,1.0,1.0,1.0,Never married,0.0,1.0,0.0,853.0,0.0,0.0,0.0011709601873536,0.0,0.998829039812646,0.0,0.0
3,F,1983-09-01,13.0,0.0,Hispanic,12.350955400184343,12.0,81000.0,0.0,1.0,Northeast,Urban,27.978,3.0,0.0,3.0,About half (50%),1.0,1.0,0.0,Never married,0.0,0.0,172.0,541.0,0.0,0.0,0.0,0.241234221598878,0.758765778401122,0.0,0.0
4,F,1981-02-01,15.0,0.0,Hispanic,12.0,12.0,11350.0,0.0,4.0,Northeast,Urban,37.012,3.5,0.0,2.5,Almost all (>90%),0.0,1.0,0.0,Never married,0.0,48.0,13.0,878.0,0.0,0.0,0.0511182108626198,0.0138445154419595,0.935037273695421,0.0,0.0
5,M,1982-10-01,14.0,0.0,Hispanic,12.0,12.0,59500.0,1.0,11.0,Northeast,Urban,40.551429943809715,2.5,0.0,2.5,About 75%,5.0,1.0,1.0,Never married,0.0,0.0,5.0,831.0,0.0,0.0,0.0,0.0059808612440191,0.994019138755981,0.0,0.0
6,F,1982-01-01,14.0,0.0,Hispanic,11.452483397602283,12.0,6300.0,0.0,3.0,Northeast,Urban,22.001,2.5,0.0,1.5,About 75%,1.0,1.0,1.0,Never married,0.0,3.0,249.0,633.0,0.0,0.0,0.0033898305084745,0.28135593220339,0.715254237288136,0.0,0.0
7,M,1983-04-01,13.0,0.0,Hispanic,11.489268277410414,12.0,28674.529742678555,0.0,3.0,Northeast,Urban,3.585,2.0,0.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,287.0,111.0,134.0,75.0,0.0,0.472817133443163,0.182866556836903,0.220757825370675,0.123558484349259,0.0
8,F,1981-06-01,15.0,1.0,Non-Black / Non-Hispanic,6.0,12.0,59500.0,1.0,4.0,Northeast,Urban,66.73268329032857,4.0,1.0,3.0,About 75%,0.0,1.0,1.0,Never married,0.0,82.0,71.0,776.0,0.0,0.0,0.0882669537136706,0.0764262648008611,0.835306781485468,0.0,0.0
9,M,1982-10-01,14.0,1.0,Non-Black / Non-Hispanic,6.0,12.0,84250.0,1.0,4.0,Northeast,Urban,62.49890863545475,3.0,1.0,3.0,About 75%,0.0,1.0,1.0,Never married,0.0,33.0,0.0,800.0,0.0,0.0,0.0396158463385354,0.0,0.960384153661465,0.0,0.0
10,M,1984-03-01,12.0,1.0,Non-Black / Non-Hispanic,6.0,12.0,5000.0,1.0,4.0,Northeast,Urban,72.13893384853523,4.0,1.0,4.0,Almost all (>90%),1.0,1.0,1.0,Never married,0.0,0.0,116.0,671.0,0.0,0.0,0.0,0.147395171537484,0.852604828462516,0.0,0.0
11,F,1982-06-01,14.0,0.0,Hispanic,12.0,14.0,25580.0,0.0,6.0,Northeast,Urban,30.583,3.0,0.0,3.5,About half (50%),1.0,1.0,1.0,Never married,0.0,0.0,72.0,781.0,0.0,0.0,0.0,0.0844079718640094,0.915592028135991,0.0,0.0
12,M,1981-10-01,15.0,0.0,Hispanic,12.228266732026569,12.0,46000.0,0.0,2.0,Northeast,Urban,42.43053003336477,4.0,0.0,1.0,About half (50%),1.0,1.0,1.0,Never married,0.0,0.0,11.0,885.0,0.0,0.0,0.0,0.0122767857142857,0.987723214285714,0.0,0.0
15,F,1983-01-01,13.0,0.0,Hispanic,13.0,12.0,41461.75955797505,0.4641966345705351,4.915460916541685,West,Rural,26.024,3.5,0.0,3.5,About 25%,0.0,1.0,1.0,Never married,0.0,5.0,105.0,522.0,0.0,0.0,0.0079113924050632,0.166139240506329,0.825949367088608,0.0,0.0
16,M,1982-02-01,14.0,0.0,Hispanic,10.0,11.0,8150.0,0.0,5.0,Northeast,Urban,44.451,3.0,0.0,2.0,About 25%,3.0,1.0,0.0,Never married,0.0,64.0,310.0,444.0,51.0,0.0,0.0736478711162255,0.356731875719217,0.510932105868815,0.0586881472957422,0.0
17,F,1981-11-01,15.0,0.0,Hispanic,12.227129161412014,14.0,11404.0,0.0,6.0,Northeast,Urban,30.811,2.0,0.0,2.5,About 25%,3.0,1.0,1.0,Never married,0.0,6.0,0.0,635.0,32.0,0.0,0.0089153046062407,0.0,0.943536404160475,0.0475482912332838,0.0
18,M,1982-02-01,14.0,0.0,Black,10.0,15.0,18534.0,0.0,3.0,Northeast,Urban,9.339,2.5,0.0,1.0,Almost none (<10%),1.0,0.0,0.0,Never married,0.0,56.0,489.0,322.0,0.0,0.0,0.0645905420991926,0.56401384083045,0.371395617070358,0.0,0.0
19,M,1984-04-01,12.0,0.0,Black,10.0,15.0,23166.6666666667,0.0,3.0,South,Urban,8.334,0.0,0.0,2.5,Almost all (>90%),2.0,0.0,0.0,Never married,0.0,71.0,186.0,515.0,12.0,0.0,0.0905612244897959,0.237244897959184,0.656887755102041,0.0153061224489796,0.0
21,M,1982-08-01,14.0,0.0,Hispanic,11.0,13.0,25873.3333333333,0.0,5.0,Northeast,Urban,3.505,3.0,0.0,2.0,About 75%,3.0,1.0,1.0,Never married,0.0,254.0,37.0,555.0,0.0,0.0,0.300236406619385,0.0437352245862884,0.656028368794326,0.0,0.0
22,M,1982-06-01,14.0,0.0,Hispanic,12.0,11.0,0.0,0.0,3.0,Northeast,Urban,10.443,2.5,0.0,2.5,About half (50%),1.0,0.0,1.0,Never married,0.0,8.0,53.0,804.0,0.0,0.0,0.0092485549132948,0.061271676300578,0.929479768786127,0.0,0.0
23,F,1983-01-01,13.0,0.0,Hispanic,10.0,10.0,15500.0,0.0,9.0,Northeast,Urban,6.423,2.0,0.0,4.0,About 25%,1.0,1.0,0.0,Never married,0.0,0.0,1.0,821.0,0.0,0.0,0.0,0.0012165450121654,0.998783454987834,0.0,0.0
25,F,1983-03-01,13.0,0.0,Hispanic,12.0,12.0,32625.0,1.0,12.0,Northeast,Urban,5.403,2.5,0.0,2.0,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,4.0,568.0,240.0,0.0,0.0,0.0049261083743842,0.699507389162562,0.295566502463054,0.0,0.0
28,F,1983-11-01,13.0,1.0,Black,12.0,12.0,13000.0,0.0,8.0,Northeast,Urban,17.058,3.5,0.0,3.5,About half (50%),0.0,1.0,1.0,Never married,0.0,0.0,0.0,793.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,M,1982-07-01,14.0,1.0,Non-Black / Non-Hispanic,12.0,12.0,92060.0,0.7628431809127326,4.02226139608172,Northeast,Urban,62.806,3.0,1.0,4.0,About 75%,2.0,1.0,1.0,Never married,0.0,0.0,7.0,841.0,0.0,0.0,0.0,0.008254716981132,0.991745283018868,0.0,0.0
32,F,1981-07-01,15.0,1.0,Non-Black / Non-Hispanic,16.0,16.0,155000.0,0.8544973165172662,2.6686941038491536,Northeast,Urban,39.949,4.0,1.0,3.0,About 75%,0.0,1.0,1.0,Never married,0.0,15.0,25.0,864.0,0.0,0.0,0.0165929203539823,0.0276548672566372,0.955752212389381,0.0,0.0
33,F,1980-12-01,16.0,1.0,Non-Black / Non-Hispanic,16.0,14.0,75250.0,1.0,1.0,Northeast,Urban,96.655,4.0,0.0,4.0,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,0.0,11.0,922.0,0.0,0.0,0.0,0.0117899249732047,0.988210075026795,0.0,0.0
34,F,1984-12-01,12.0,1.0,Non-Black / Non-Hispanic,9.0,16.0,30400.0,1.0,1.0,Northeast,Urban,35.107,2.0,0.0,2.0,About 75%,0.0,1.0,0.0,Never married,0.0,122.0,381.0,206.0,17.0,0.0,0.168044077134986,0.524793388429752,0.283746556473829,0.0234159779614325,0.0
35,M,1983-01-01,13.0,1.0,Non-Black / Non-Hispanic,12.899214166719808,12.987598848964947,11000.0,0.5206095253708307,3.8078989985054896,Northeast,Urban,59.27,3.0,0.0,2.5,About 75%,0.0,1.0,0.0,Never married,0.0,0.0,2.0,822.0,0.0,0.0,0.0,0.0024271844660194,0.997572815533981,0.0,0.0
36,F,1980-08-01,16.0,0.0,Non-Black / Non-Hispanic,16.0,15.0,37750.0,1.0,2.0,Northeast,Urban,52.192,2.5,0.0,2.5,Almost all (>90%),7.0,0.0,0.0,Never married,1.0,88.0,412.0,154.0,0.0,0.0,0.134556574923547,0.629969418960245,0.235474006116208,0.0,0.0
37,F,1980-11-01,16.0,1.0,Non-Black / Non-Hispanic,11.0,12.822174411686024,43333.3333333333,0.0,2.0,Northeast,Urban,82.912,2.5,1.0,3.5,About 75%,0.0,1.0,1.0,Never married,0.0,4.0,67.0,864.0,0.0,0.0,0.0042780748663101,0.0716577540106952,0.924064171122995,0.0,0.0
38,F,1981-09-01,15.0,1.0,Non-Black / Non-Hispanic,11.0,12.662722004221628,47500.0,0.0,2.0,Northeast,Urban,68.753,3.0,1.0,3.0,About half (50%),0.0,1.0,1.0,Never married,0.0,0.0,20.0,869.0,0.0,0.0,0.0,0.0224971878515186,0.977502812148481,0.0,0.0
39,M,1980-02-01,16.0,1.0,Hispanic,14.623846041042183,14.34149788676216,88750.0,1.0,2.0,Northeast,Urban,45.9,3.0,1.0,4.0,Almost all (>90%),2.0,0.0,1.0,Never married,0.0,69.0,37.0,474.0,93.0,0.0,0.102526002971768,0.0549777117384844,0.704309063893016,0.138187221396731,0.0
40,F,1984-05-01,12.0,0.0,Non-Black / Non-Hispanic,12.0,12.0,46995.32767801944,0.46581288868903586,3.823214670212764,Northeast,Urban,35.61965402369996,2.0,0.0,2.4605225897607905,Almost all (>90%),0.0,0.0,0.0,Never married,0.0,33.995754991132415,113.91469178106406,544.9403787012828,3.761839000852504,10.951525616786313,0.046824444071566385,0.1466599747427667,0.7834613494599343,0.005089205272615915,0.01796502645027609
41,F,1983-01-01,13.0,1.0,Non-Black / Non-Hispanic,12.0,12.0,30750.0,0.5795449964862257,3.7864807935800693,Northeast,Urban,88.652,4.0,1.0,3.0,About 75%,1.0,1.0,1.0,Never married,0.0,12.0,45.0,735.0,30.0,0.0,0.0145985401459854,0.0547445255474453,0.894160583941606,0.0364963503649635,0.0
42,M,1983-08-01,13.0,1.0,Non-Black / Non-Hispanic,12.92103142481722,12.781025835602502,22500.0,0.4718188466687251,3.451559753369013,Northeast,Urban,44.217,3.5,0.0,3.0,About 75%,1.0,1.0,1.0,Never married,0.0,119.0,2.0,18.0,0.0,0.0,0.856115107913669,0.0143884892086331,0.129496402877698,0.0,0.0
43,F,1981-10-01,15.0,0.0,Black,11.753411994037608,11.667698577598511,26837.417707908113,0.0,4.0,Northeast,Urban,22.965,3.0,0.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,49.0,668.0,176.0,0.0,0.0,0.0548712206047032,0.748040313549832,0.197088465845465,0.0,0.0
44,M,1981-12-01,15.0,0.0,Hispanic,10.955099253401157,10.867489874828163,8750.0,1.0,9.0,Northeast,Urban,25.325,2.5,0.0,2.0,About half (50%),2.0,1.0,1.0,Never married,0.0,232.0,488.0,176.0,0.0,0.0,0.258928571428571,0.544642857142857,0.196428571428571,0.0,0.0
45,F,1984-02-01,12.0,0.0,Black,8.820244236755663,8.0,625.0,0.0,8.0,Northeast,Urban,12.487993599705298,2.0,0.0,3.0,Almost none (<10%),0.0,0.0,1.0,Never married,1.0,18.0,86.0,659.0,0.0,0.0,0.0235910878112713,0.112712975098296,0.863695937090432,0.0,0.0
46,M,1984-02-01,12.0,0.0,Black,8.940867145009921,8.0,0.0,0.0,8.0,Northeast,Urban,13.362612788952411,3.0,0.0,2.5,About half (50%),0.0,0.0,0.0,Never married,0.0,100.0,524.0,49.0,0.0,0.0,0.148588410104012,0.778603268945022,0.0728083209509658,0.0,0.0
47,F,1982-09-01,14.0,0.0,Black,11.173823408586008,11.0,4000.0,0.0,6.0,Northeast,Urban,46.475,3.5,0.0,3.5,About half (50%),0.0,1.0,1.0,Never married,0.0,135.0,153.0,556.0,0.0,0.0,0.159952606635071,0.181279620853081,0.658767772511848,0.0,0.0
48,F,1983-07-01,13.0,1.0,Black,11.537847202614165,11.0,22000.0,0.0,6.0,Northeast,Urban,63.769,2.5,0.0,3.0,About half (50%),1.0,1.0,0.0,Never married,0.0,0.0,1.0,806.0,0.0,0.0,0.0,0.0012391573729863,0.998760842627014,0.0,0.0
49,F,1982-12-01,14.0,0.0,Black,12.223140719911202,12.0,37500.0,0.0,6.0,Northeast,Urban,79.413,3.5,0.0,2.5,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,0.0,1.0,738.0,0.0,0.0,0.0,0.0013531799729364,0.998646820027064,0.0,0.0
50,F,1983-02-01,13.0,0.0,Black,10.890375733894796,12.0,2500.0,0.0,5.0,Northeast,Urban,20.063396499207222,2.0,0.0,2.5,About 75%,0.0,0.0,0.0,Never married,0.0,0.0,51.0,769.0,0.0,0.0,0.0,0.0621951219512195,0.93780487804878,0.0,0.0
51,M,1980-06-01,16.0,0.0,Black,11.829757325394189,12.0,4625.0,0.0,5.0,Northeast,Urban,51.057,3.0,0.0,2.5,About half (50%),0.0,1.0,1.0,Never married,0.0,2.0,2.0,955.0,0.0,0.0,0.0020855057351407,0.0020855057351407,0.995828988529718,0.0,0.0
52,M,1983-12-01,13.0,0.0,Black,11.358999915737286,12.0,3750.0,0.0,5.0,Northeast,Urban,29.824,3.0,1.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,0.0,0.0,777.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,F,1984-04-01,12.0,0.0,Black,12.0,12.0,33625.0,0.0,3.0,Northeast,Urban,47.134,4.0,0.0,3.5,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,F,1984-12-01,12.0,0.0,Black,12.290346796528606,14.0,36413.20282134252,0.0,11.0,Northeast,Urban,58.541,1.5,0.0,2.0,About half (50%),2.0,1.0,1.0,Never married,0.0,0.0,115.0,615.0,0.0,0.0,0.0,0.157534246575342,0.842465753424658,0.0,0.0
55,F,1981-02-01,15.0,0.0,Hispanic,12.0,10.0,54117.5,1.0,2.0,Northeast,Urban,53.241,4.0,0.0,3.0,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,9.0,56.0,864.0,0.0,0.0,0.0096878363832077,0.0602798708288482,0.930032292787944,0.0,0.0
56,F,1982-02-01,14.0,1.0,Non-Black / Non-Hispanic,16.0,18.0,118835.0,1.0,5.0,Northeast,Urban,96.703,3.5,0.0,3.0,About 75%,0.0,1.0,1.0,Never married,0.0,0.0,122.0,750.0,0.0,0.0,0.0,0.139908256880734,0.860091743119266,0.0,0.0
57,M,1982-12-01,14.0,0.0,Black,12.0,12.0,0.0,0.0,3.0,Northeast,Urban,41.86387770700831,3.5,0.0,3.5,About 75%,0.0,1.0,1.0,Never married,0.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,M,1983-11-01,13.0,0.0,Black,12.0,12.0,18250.0,0.0,7.0,Northeast,Urban,15.235,2.0,0.0,3.0,About 25%,5.0,1.0,1.0,Never married,0.0,0.0,3.0,776.0,0.0,0.0,0.0,0.0038510911424903,0.99614890885751,0.0,0.0
59,F,1981-04-01,15.0,0.0,Black,14.069252144059192,16.0,23786.6666666667,0.0,6.0,Northeast,Urban,56.429,3.5,1.0,3.0,Almost all (>90%),2.0,1.0,1.0,Never married,0.0,41.0,51.0,824.0,0.0,0.0,0.0447598253275109,0.0556768558951965,0.899563318777293,0.0,0.0
60,M,1984-01-01,12.0,1.0,Non-Black / Non-Hispanic,13.474467700286793,14.0,59550.0,0.0,5.0,Northeast,Urban,1.355,3.0,0.0,3.5,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,12.0,560.0,238.0,0.0,0.0,0.0148148148148148,0.691358024691358,0.293827160493827,0.0,0.0
61,F,1983-05-01,13.0,0.0,Black,12.0,12.0,43500.0,0.0,6.0,Northeast,Urban,44.495,2.0,1.0,2.0,About 75%,0.0,0.0,1.0,Never married,0.0,59.0,241.0,530.0,0.0,0.0,0.0710843373493976,0.290361445783133,0.63855421686747,0.0,0.0
62,M,1980-03-01,16.0,1.0,Black,14.0,14.0,150000.0,1.0,1.0,Northeast,Urban,73.429,2.5,0.0,2.5,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,0.0,1.0,981.0,0.0,0.0,0.0,0.0010183299389002,0.9989816700611,0.0,0.0
63,F,1984-10-01,12.0,0.0,Black,14.0,14.0,167500.0,1.0,1.0,South,Rural,52.921,4.0,1.0,3.5,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,17.0,104.0,610.0,0.0,0.0,0.0232558139534884,0.142270861833105,0.834473324213406,0.0,0.0
64,M,1980-03-01,16.0,0.0,Black,12.0,15.0,45261.5243112741,0.1426483050045847,5.184782452141835,Northeast,Urban,34.197,3.5,0.0,3.0,About half (50%),7.0,0.0,1.0,Never married,0.0,6.0,38.0,928.0,0.0,0.0,0.0061728395061728,0.0390946502057613,0.954732510288066,0.0,0.0
65,M,1984-04-01,12.0,0.0,Black,11.629776652791922,11.903356872822027,51954.696077128814,1.0,5.0,South,Urban,27.471,2.5,0.0,2.5,Almost all (>90%),1.0,1.0,0.0,Never married,0.0,61.0,3.0,614.0,0.0,0.0,0.0899705014749263,0.0044247787610619,0.905604719764012,0.0,0.0
66,M,1980-10-01,16.0,1.0,Black,12.0,12.617647328395716,50090.392146075465,0.0,5.0,Northeast,Urban,49.37638816272054,3.0,1.0,3.0,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,0.0,102.0,110.0,0.0,0.0,0.0,0.481132075471698,0.518867924528302,0.0,0.0
67,M,1980-11-01,16.0,1.0,Black,12.0,18.0,120000.0,0.0,5.0,Northeast,Urban,59.30132668266547,3.5,1.0,2.5,Almost all (>90%),1.0,1.0,1.0,Never married,0.0,42.0,87.0,783.0,52.0,0.0,0.0435684647302905,0.0902489626556017,0.812240663900415,0.053941908713693,0.0
68,M,1981-01-01,15.0,0.0,Black,12.0,12.051986288626987,30107.37494874718,0.0,5.0,Northeast,Urban,20.533458295605534,2.5,0.0,2.5,Almost all (>90%),1.0,1.0,0.0,Never married,0.0,122.0,597.0,204.0,0.0,0.0,0.132177681473456,0.646803900325027,0.221018418201517,0.0,0.0
69,F,1981-07-01,15.0,1.0,Black,12.0,16.0,89500.0,1.0,4.0,Northeast,Urban,81.315,4.0,1.0,3.0,About 75%,1.0,1.0,1.0,Never married,0.0,6.0,0.0,904.0,0.0,0.0,0.0065934065934065,0.0,0.993406593406593,0.0,0.0
70,M,1982-08-01,14.0,1.0,Black,12.0,16.0,77500.0,1.0,4.0,Northeast,Urban,56.708,3.0,0.0,3.0,About 75%,2.0,1.0,0.0,Never married,0.0,0.0,0.0,657.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,M,1980-01-01,16.0,0.0,Black,14.0,14.0,26015.0,0.0,5.0,Northeast,Urban,49.98630577547643,3.0,1.0,3.5,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,0.0,0.0,984.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,F,1982-04-01,14.0,0.0,Black,12.0,11.0,28751.312936225528,0.2634537592050661,4.714897169895085,Northeast,Urban,12.88083441361988,3.0,0.0,2.0,About half (50%),0.0,1.0,1.0,Never married,0.0,0.0,380.0,9.0,471.0,0.0,0.0,0.441860465116279,0.0104651162790698,0.547674418604651,0.0
73,M,1984-10-01,12.0,0.0,Black,12.0,11.0,36600.0,0.3803022473140894,5.810632930229912,Northeast,Urban,42.04078820287797,4.0,0.0,3.5,About half (50%),0.0,0.0,1.0,Never married,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,M,1983-07-01,13.0,1.0,Non-Black / Non-Hispanic,15.945599365658536,15.579145499380097,101666.02608016107,1.0,0.0,Northeast,Urban,76.005817404483,3.0,1.0,3.0,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,48.0,63.0,686.0,0.0,0.0,0.0602258469259724,0.0790464240903388,0.860727728983689,0.0,0.0
75,M,1982-01-01,14.0,0.0,Non-Black / Non-Hispanic,8.0,9.20593589883628,7500.0,0.46018718844487794,5.0576394248859415,Northeast,Urban,7.556,3.0,0.0,3.0,About 75%,0.0,1.0,1.0,Never married,0.0,18.0,0.0,773.0,0.0,0.0,0.02275600505689,0.0,0.97724399494311,0.0,0.0
76,M,1982-01-01,14.0,0.0,Non-Black / Non-Hispanic,8.0,9.696621318997902,19000.0,0.4858828491951085,4.831298065470488,Northeast,Urban,34.058,3.0,0.0,2.0,About 75%,0.0,1.0,1.0,Never married,0.0,0.0,8.0,865.0,0.0,0.0,0.0,0.0091638029782359,0.990836197021764,0.0,0.0
77,F,1984-11-01,12.0,0.0,Hispanic,12.0,12.0,58180.0,0.0,2.0,Northeast,Urban,49.727866883229304,4.0,0.0,4.0,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,30.95194550603877,104.3181443489596,537.5851919191481,3.570402177699137,12.403569081938684,0.04682444406860797,0.146659974722258,0.7834613494710185,0.005089205265874308,0.017965026471768564
78,F,1981-07-01,15.0,0.0,Non-Black / Non-Hispanic,11.672664360885957,11.81009354138321,5040.0,0.0,2.0,Northeast,Urban,29.032,3.0,0.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,106.0,72.0,635.0,0.0,0.0,0.130381303813038,0.0885608856088561,0.781057810578106,0.0,0.0
79,M,1983-12-01,13.0,0.0,Hispanic,14.0,11.0,266.666666666667,0.0,2.0,Northeast,Urban,10.563,1.5,0.0,1.5,About half (50%),5.0,1.0,1.0,Never married,0.0,161.0,26.0,543.0,0.0,0.0,0.220547945205479,0.0356164383561644,0.743835616438356,0.0,0.0
80,M,1981-06-01,15.0,0.0,Black,14.0,12.0,15000.0,0.0,1.0,Northeast,Urban,11.014,1.5,0.0,1.5,About 75%,2.0,1.0,1.0,Never married,0.0,155.0,743.0,13.0,0.0,0.0,0.170142700329308,0.815587266739846,0.0142700329308452,0.0,0.0
81,F,1984-01-01,12.0,0.0,Black,12.0,12.0,4810.0,0.0,4.0,Northeast,Urban,2.39,2.5,0.0,2.5,About 75%,3.0,0.0,0.0,Never married,0.0,458.0,112.0,202.0,0.0,0.0,0.593264248704663,0.145077720207254,0.261658031088083,0.0,0.0
82,M,1984-07-01,12.0,1.0,Hispanic,13.906382095406986,14.058749752892126,55461.517939361715,0.0,4.0,Northeast,Urban,69.94,3.0,0.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,12.0,115.0,615.0,0.0,0.0,0.0161725067385445,0.154986522911051,0.828840970350404,0.0,0.0
83,M,1981-09-01,15.0,0.0,Hispanic,12.0,6.0,18200.0,0.0,4.0,Northeast,Urban,8.011,3.0,1.0,0.0,About 75%,0.0,1.0,1.0,Never married,0.0,24.0,100.0,790.0,0.0,0.0,0.0262582056892779,0.109409190371991,0.864332603938731,0.0,0.0
84,F,1984-02-01,12.0,0.0,Hispanic,12.0,6.0,14893.74634874177,0.0,4.0,Northeast,Urban,42.129,3.0,0.0,3.5,About half (50%),0.0,0.0,1.0,Never married,0.0,0.0,218.0,210.0,0.0,344.0,0.0,0.282383419689119,0.272020725388601,0.0,0.44559585492228
85,M,1984-02-01,12.0,0.0,Non-Black / Non-Hispanic,12.0,12.0,17502.5,0.0,6.0,Northeast,Urban,70.113,3.5,0.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,44.0,8.0,713.0,0.0,0.0,0.057516339869281,0.0104575163398693,0.93202614379085,0.0,0.0
86,F,1980-10-01,16.0,0.0,Non-Black / Non-Hispanic,12.0,12.0,54786.538817686844,1.0,8.0,Northeast,Urban,13.722,2.5,0.0,3.0,About half (50%),1.0,0.0,0.0,Never married,0.0,48.0,144.0,771.0,0.0,0.0,0.0498442367601246,0.149532710280374,0.800623052959502,0.0,0.0
87,M,1984-05-01,12.0,0.0,Hispanic,14.0,12.0,26250.0,1.0,8.0,Northeast,Urban,75.575,3.5,1.0,2.5,Almost all (>90%),0.0,1.0,1.0,Never married,0.0,10.0,0.0,19.0,0.0,0.0,0.344827586206897,0.0,0.655172413793103,0.0,0.0
88,M,1981-01-01,15.0,0.0,Non-Black / Non-Hispanic,12.0,12.0,54771.75758759177,0.5595072502480285,4.051798962152993,Northeast,Urban,5.929,3.0,0.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,6.0,12.0,929.0,0.0,0.0,0.0063357972544878,0.0126715945089757,0.980992608236536,0.0,0.0
89,M,1981-11-01,15.0,1.0,Non-Black / Non-Hispanic,6.0,6.0,58900.0,0.798788244189452,5.8415993573552,Northeast,Urban,78.892,3.5,0.0,4.0,About 75%,0.0,1.0,1.0,Never married,0.0,8.0,6.0,873.0,0.0,0.0,0.0090191657271702,0.0067643742953776,0.984216459977452,0.0,0.0
90,M,1981-11-01,15.0,0.0,Hispanic,12.0,16.0,37000.0,1.0,4.674151036504164,Northeast,Urban,46.267064688691484,3.0,0.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,0.0,0.0,886.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,F,1982-09-01,14.0,0.0,Hispanic,12.0,16.0,47500.0,1.0,4.503025177168963,Northeast,Urban,47.87620541332428,3.5,0.0,2.5,About 75%,0.0,1.0,1.0,Never married,0.0,46.0,2.0,816.0,0.0,0.0,0.0532407407407407,0.0023148148148148,0.944444444444444,0.0,0.0
92,M,1983-04-01,13.0,0.0,Non-Black / Non-Hispanic,12.0,10.0,37600.0,1.0,2.0,Northeast,Urban,4.355,2.0,0.0,2.5,About 75%,0.0,1.0,0.0,Never married,0.0,80.0,505.0,14.0,214.0,0.0,0.0984009840098401,0.621156211562116,0.017220172201722,0.263222632226322,0.0
93,M,1983-09-01,13.0,0.0,Hispanic,12.0,8.0,14500.0,0.0,2.0,Northeast,Urban,5.351,2.0,0.0,2.0,About half (50%),0.0,1.0,1.0,Never married,0.0,24.0,75.0,315.0,191.0,0.0,0.0396694214876033,0.12396694214876,0.520661157024793,0.315702479338843,0.0
94,F,1980-09-01,16.0,0.0,Black,12.0,10.0,19553.0,0.0,1.0,Northeast,Urban,79.941,3.5,1.0,2.5,About 25%,2.0,1.0,1.0,Never married,0.0,70.0,39.0,836.0,0.0,0.0,0.0740740740740741,0.0412698412698413,0.884656084656085,0.0,0.0
96,M,1982-07-01,14.0,1.0,Non-Black / Non-Hispanic,14.0,12.0,75500.0,1.0,2.0,Northeast,Urban,74.79220176487152,3.5,1.0,3.450858552548841,About 75%,0.0,1.0,1.0,Never married,0.0,1.0,3.0,77.0,0.0,0.0,0.0123456790123457,0.037037037037037,0.950617283950617,0.0,0.0
