"ID","sex","DOB","age97","compcoll_age25","race","father_educ_years","mother_educ_years","parinc","intact","sibsz","region_age17","urban_rural_age17","asvab_mv_pct","grades8th","hsprog","gpa","peers_aspiration_college","delinq","tchgood","schsafe","marstat_age17","res_children_age17","weeks_Unemployed","weeks_Out of labor force","weeks_Employed","weeks_Not working (unclear if unemployed or NILF)","weeks_Active military","prop_Unemployed","prop_Out of labor force","prop_Employed","prop_Not working (unclear if unemployed or NILF)","prop_Active military"
1,"F",1981-09-01,15,1,"Non-Black / Non-Hispanic",16,8,137750,1,1,"Northeast","Urban",45.07,3.5,0,3.5,"About 75%",0,1,1,"Never married",0,250,155,492,0,0,0.278706800445931,0.172798216276477,0.548494983277592,0,0
2,"M",1982-07-01,14,0,"Hispanic",17,15,84000,NA,NA,"Northeast","Urban",58.483,2.5,0,2.5,"About 75%",1,1,1,"Never married",0,1,0,853,0,0,0.00117096018735363,0,0.998829039812646,0,0
3,"F",1983-09-01,13,0,"Hispanic",NA,12,81000,0,1,"Northeast","Urban",27.978,3,0,3,"About half (50%)",1,1,0,"Never married",0,0,172,541,0,0,0,0.241234221598878,0.758765778401122,0,0
4,"F",1981-02-01,15,0,"Hispanic",12,12,11350,0,4,"Northeast","Urban",37.012,3.5,0,2.5,"Almost all (>90%)",0,1,0,"Never married",0,48,13,878,0,0,0.0511182108626198,0.0138445154419595,0.935037273695421,0,0
5,"M",1982-10-01,14,0,"Hispanic",12,12,59500,1,11,"Northeast","Urban",NA,2.5,0,2.5,"About 75%",5,1,1,"Never married",0,0,5,831,0,0,0,0.00598086124401914,0.994019138755981,0,0
6,"F",1982-01-01,14,0,"Hispanic",NA,12,6300,0,3,"Northeast","Urban",22.001,2.5,0,1.5,"About 75%",1,1,1,"Never married",0,3,249,633,0,0,0.00338983050847458,0.28135593220339,0.715254237288136,0,0
7,"M",1983-04-01,13,0,"Hispanic",NA,12,NA,0,3,"Northeast","Urban",3.585,2,0,2.5,"About 75%",0,1,1,"Never married",0,287,111,134,75,0,0.472817133443163,0.182866556836903,0.220757825370675,0.123558484349259,0
8,"F",1981-06-01,15,1,"Non-Black / Non-Hispanic",6,12,59500,1,4,"Northeast","Urban",NA,4,1,3,"About 75%",0,1,1,"Never married",0,82,71,776,0,0,0.0882669537136706,0.0764262648008611,0.835306781485468,0,0
9,"M",1982-10-01,14,1,"Non-Black / Non-Hispanic",6,12,84250,1,4,"Northeast","Urban",NA,3,1,3,"About 75%",0,1,1,"Never married",0,33,0,800,0,0,0.0396158463385354,0,0.960384153661465,0,0
10,"M",1984-03-01,12,1,"Non-Black / Non-Hispanic",6,12,5000,1,4,"Northeast","Urban",NA,4,1,4,"Almost all (>90%)",1,1,1,"Never married",0,0,116,671,0,0,0,0.147395171537484,0.852604828462516,0,0
11,"F",1982-06-01,14,0,"Hispanic",12,14,25580,0,6,"Northeast","Urban",30.583,3,0,3.5,"About half (50%)",1,1,1,"Never married",0,0,72,781,0,0,0,0.0844079718640094,0.915592028135991,0,0
12,"M",1981-10-01,15,0,"Hispanic",NA,12,46000,0,2,"Northeast","Urban",NA,4,0,1,"About half (50%)",1,1,1,"Never married",0,0,11,885,0,0,0,0.0122767857142857,0.987723214285714,0,0
15,"F",1983-01-01,13,0,"Hispanic",13,12,NA,NA,NA,"West","Rural",26.024,3.5,0,3.5,"About 25%",0,1,1,"Never married",0,5,105,522,0,0,0.00791139240506329,0.166139240506329,0.825949367088608,0,0
16,"M",1982-02-01,14,0,"Hispanic",10,11,8150,0,5,"Northeast","Urban",44.451,3,0,2,"About 25%",3,1,0,"Never married",0,64,310,444,51,0,0.0736478711162255,0.356731875719217,0.510932105868815,0.0586881472957422,0
17,"F",1981-11-01,15,0,"Hispanic",NA,14,11404,0,6,"Northeast","Urban",30.811,2,0,2.5,"About 25%",3,1,1,"Never married",0,6,0,635,32,0,0.00891530460624071,0,0.943536404160475,0.0475482912332838,0
18,"M",1982-02-01,14,0,"Black",10,15,18534,0,3,"Northeast","Urban",9.339,2.5,0,1,"Almost none (<10%)",1,0,0,"Never married",0,56,489,322,0,0,0.0645905420991926,0.56401384083045,0.371395617070358,0,0
19,"M",1984-04-01,12,0,"Black",10,15,23166.6666666667,0,3,"South","Urban",8.334,0,0,2.5,"Almost all (>90%)",2,0,0,"Never married",0,71,186,515,12,0,0.0905612244897959,0.237244897959184,0.656887755102041,0.0153061224489796,0
